Gene	Gene
C10orf131	NDNE
EIF2AK1	NDNE
KDM2A	NDNE
ZNF765	NDNE
OR6P1	NDNE
CBLC	NDNE
IL17RC	NDNE
TEX15	NDNE
MYBPHL	NDNE
TCF24	NDNE
CDK5R1	NDNE
FOCAD	NDNE
PPAN-P2RY11	NDNE
ZNF330	NDNE
ANAPC1	NDNE
ACOT1	NDNE
HRSP12	NDNE
CERS1	NDNE
MED17	NDNE
PLGLB2	NDNE
GSTM5	NDNE
IZUMO4	NDNE
TRAPPC3	NDNE
DCAF12	NDNE
BNC1	NDNE
ATAD2B	NDNE
ZNF621	NDNE
EIF1AD	NDNE
STK10	NDNE
CACNG3	NDNE
ZNF555	NDNE
ZBTB44	NDNE
OST4	NDNE
UBE2J1	NDNE
CEACAM7	NDNE
GTPBP4	NDNE
SF3A3	NDNE
MXD3	NDNE
DEXI	NDNE
DTD1	NDNE
CWH43	NDNE
NOP9	NDNE
PARM1	NDNE
GPR32	NDNE
GDPD5	NDNE
SLC35F1	NDNE
SNRNP27	NDNE
KPNA1	NDNE
FAM91A1	NDNE
CELA1	NDNE
DDX28	NDNE
COQ6	NDNE
CDC40	NDNE
RRP36	NDNE
ZNF473	NDNE
SARDH	NDNE
C11orf91	NDNE
SPAG4	NDNE
DCK	NDNE
ZNF510	NDNE
TXNL4B	NDNE
ASRGL1	NDNE
NUDT16	NDNE
LRRC74B	NDNE
ELF2	NDNE
PFKFB2	NDNE
WNT5B	NDNE
SPIRE1	NDNE
YIPF7	NDNE
CSF3R	NDNE
KRT31	NDNE
ZNF559	NDNE
NAAA	NDNE
C6orf223	NDNE
AREL1	NDNE
APPL1	NDNE
DDT	NDNE
C1orf43	NDNE
CD209	NDNE
BANF1	NDNE
FAM162B	NDNE
MTMR14	NDNE
PRDX6	NDNE
ASAH2	NDNE
SLC25A52	NDNE
CH25H	NDNE
BMP3	NDNE
TRMT11	NDNE
ANKEF1	NDNE
NLRP5	NDNE
COG8	NDNE
TREH	NDNE
FAN1	NDNE
SFTPA2	NDNE
RPRD1A	NDNE
PLK3	NDNE
PCDHGB3	NDNE
PER2	NDNE
SLC25A42	NDNE
ZNF525	NDNE
KLHL36	NDNE
ECM2	NDNE
GCAT	NDNE
GLTPD2	NDNE
ATXN7L3	NDNE
MYL6	NDNE
GPR6	NDNE
CAPN14	NDNE
ANO2	NDNE
PPM1H	NDNE
SH2D2A	NDNE
NDUFA11	NDNE
FRMD8	NDNE
C3orf20	NDNE
CORO1B	NDNE
SLC25A39	NDNE
TRIM23	NDNE
SPG20	NDNE
INCA1	NDNE
TMEM230	NDNE
MCF2L2	NDNE
ANKRD26	NDNE
CD200	NDNE
CCDC102B	NDNE
IFNA4	NDNE
DCAF4	NDNE
GUCY2C	NDNE
CHIA	NDNE
C9orf84	NDNE
NUDT17	NDNE
COA5	NDNE
LCN6	NDNE
COL6A6	NDNE
C18orf25	NDNE
CHRNA10	NDNE
CEACAM8	NDNE
MCEE	NDNE
EED	NDNE
PRDM9	NDNE
AAR2	NDNE
OR6M1	NDNE
TBC1D21	NDNE
P2RX4	NDNE
TMC8	NDNE
ZDHHC22	NDNE
MOB3C	NDNE
TRIM16	NDNE
ZSWIM7	NDNE
PIM1	NDNE
CYP4A11	NDNE
MUC22	NDNE
SLC25A24	NDNE
FAM101A	NDNE
MORN4	NDNE
ACYP1	NDNE
IL31	NDNE
ATXN3	NDNE
ACSM4	NDNE
ZRANB3	NDNE
SPATC1	NDNE
GPR22	NDNE
CRY1	NDNE
MAP6D1	NDNE
CCDC122	NDNE
WDR24	NDNE
GOT1L1	NDNE
TPSG1	NDNE
SEMA4A	NDNE
RAB1A	NDNE
BCL2L2-PABPN1	NDNE
IL17RB	NDNE
TARM1	NDNE
TRIM44	NDNE
VMO1	NDNE
FCHO2	NDNE
SRPR	NDNE
CES5A	NDNE
PCDHGA10	NDNE
XCL2	NDNE
FNDC8	NDNE
ZNF692	NDNE
NPFFR2	NDNE
CABP5	NDNE
ZNF483	NDNE
TBC1D8	NDNE
PDCD6	NDNE
MYO1G	NDNE
NARS	NDNE
RPL32	NDNE
TIFAB	NDNE
FPGS	NDNE
HEATR5A	NDNE
AKR1C3	NDNE
NDUFB7	NDNE
TMEM200C	NDNE
LCE1C	NDNE
PPIP5K1	NDNE
ZCCHC8	NDNE
KIAA0196	NDNE
PRKACG	NDNE
ISCU	NDNE
HAUS6	NDNE
SPC24	NDNE
LRP3	NDNE
ZBTB1	NDNE
OR5A1	NDNE
CLEC4A	NDNE
CHST2	NDNE
PAPPA-AS1	NDNE
ZIK1	NDNE
OR4C15	NDNE
CLUL1	NDNE
CALCB	NDNE
NUDT12	NDNE
ANGEL2	NDNE
ZNF366	NDNE
HEBP1	NDNE
OR10G3	NDNE
STXBP5L	NDNE
RNF38	NDNE
INSL3	NDNE
KIN	NDNE
APOBEC3C	NDNE
RANGRF	NDNE
KIAA0125	NDNE
IRX6	NDNE
CDK5RAP1	NDNE
UBXN6	NDNE
WDYHV1	NDNE
OSBPL6	NDNE
C14orf80	NDNE
MEMO1	NDNE
LRRC19	NDNE
SETD9	NDNE
OR2B11	NDNE
PRSS23	NDNE
IGJ	NDNE
SYCE1	NDNE
CALML4	NDNE
SBSN	NDNE
CYYR1	NDNE
ARNTL2	NDNE
TTI1	NDNE
ZC3H12C	NDNE
CREB3L3	NDNE
WDR60	NDNE
SLC43A2	NDNE
CCDC186	NDNE
APOOP5	NDNE
SETD4	NDNE
ODF3	NDNE
MRPL22	NDNE
CSNK1G2	NDNE
MICALL1	NDNE
IGKV1OR2-118	NDNE
C2orf48	NDNE
MRS2	NDNE
PPP1R3G	NDNE
SPATA31E1	NDNE
VPS28	NDNE
RPS28	NDNE
ADAM8	NDNE
PCDHB6	NDNE
TNPO2	NDNE
TBC1D32	NDNE
DHRS3	NDNE
ZBTB4	NDNE
DEFB116	NDNE
PDP1	NDNE
SLC17A2	NDNE
DUSP23	NDNE
RNF151	NDNE
C16orf86	NDNE
GOLM1	NDNE
UFSP2	NDNE
SOS2	NDNE
GPR155	NDNE
TSTD1	NDNE
LTA4H	NDNE
ZBED2	NDNE
CYP2W1	NDNE
RUSC1	NDNE
GLO1	NDNE
ANKRD44	NDNE
ENDOV	NDNE
TLR3	NDNE
HOXC11	NDNE
HIC2	NDNE
OR1I1	NDNE
CCDC146	NDNE
PRAMEF10	NDNE
ZNF827	NDNE
KRT85,KRTHB5	NDNE
PRPSAP1	NDNE
DEFB112	NDNE
TMEM179B	NDNE
ZSCAN32	NDNE
HECW2	NDNE
MED10	NDNE
CFAP46	NDNE
PEX12	NDNE
SPHKAP	NDNE
POLR2E	NDNE
ZNF496	NDNE
AFMID	NDNE
GOLGA8G	NDNE
OR5B21	NDNE
LINC00935	NDNE
CCDC79	NDNE
ZNF625-ZNF20	NDNE
LINC01561	NDNE
ADGB	NDNE
NOL8	NDNE
LCA5	NDNE
IFI27L1	NDNE
FIP1L1	NDNE
GORASP2	NDNE
LPIN2	NDNE
ZNF93	NDNE
PTTG2	NDNE
HMGCS1	NDNE
FOPNL	NDNE
GAS2L3	NDNE
CLCN6	NDNE
CAMKMT	NDNE
SYS1-DBNDD2	NDNE
GRAMD1A	NDNE
IL17RA	NDNE
HYAL4	NDNE
CCDC67	NDNE
CCDC185	NDNE
CPO	NDNE
FZD8	NDNE
NAT16	NDNE
CCRN4L	NDNE
ZNF85	NDNE
FAM107A	NDNE
TMEM56-RWDD3	NDNE
WDR90	NDNE
UBQLN3	NDNE
ALDH3A1	NDNE
DOPEY1	NDNE
MED25	NDNE
CTDSPL	NDNE
SNTA1	NDNE
IFI27L2	NDNE
LRRN4	NDNE
CHD3	NDNE
FAM25A	NDNE
XKR9	NDNE
STT3B	NDNE
DZIP3	NDNE
RASGEF1C	NDNE
BRD9	NDNE
OR2D3	NDNE
SUGT1	NDNE
USP17L12	NDNE
GLIS2	NDNE
N6AMT2	NDNE
AIM1L	NDNE
TDRD10	NDNE
DUX4L5	NDNE
DNAJC15	NDNE
NUP85	NDNE
PARPBP	NDNE
SLC1A3	NDNE
BNIP3L	NDNE
REP15	NDNE
KDM4D	NDNE
POTED	NDNE
PKN3	NDNE
ACTR3C	NDNE
DNAJC25-GNG10	NDNE
ZNF594	NDNE
C1orf27	NDNE
TUBA3E	NDNE
HSD3B1	NDNE
AVPR1A	NDNE
MAP4K2	NDNE
PRSS27	NDNE
LCA5L	NDNE
ARL14EPL	NDNE
DRICH1	NDNE
EXOSC6	NDNE
OR52A1	NDNE
PCNT	NDNE
PEX19	NDNE
FSCN2	NDNE
NUTM2B	NDNE
KSR1	NDNE
ZNF487	NDNE
LSM3	NDNE
ANO9	NDNE
FKBP5	NDNE
AASDHPPT	NDNE
TAAR2	NDNE
KANSL1L	NDNE
NKX6-2	NDNE
ZNF773	NDNE
SHF	NDNE
C16orf74	NDNE
SPDYE3	NDNE
WDR47	NDNE
UAP1L1	NDNE
PRR23B	NDNE
MALL	NDNE
SPINK14	NDNE
FAM207A	NDNE
THEM6	NDNE
NT5C	NDNE
FITM2	NDNE
NR2C2AP	NDNE
ALKBH6	NDNE
SPINK13	NDNE
NPEPL1	NDNE
DLGAP1	NDNE
GTF3C6	NDNE
HEXDC	NDNE
TTC3	NDNE
ZMYM1	NDNE
ME1	NDNE
MRPS14	NDNE
CREG1	NDNE
HIGD1A	NDNE
THAP6	NDNE
GAREML	NDNE
LMBRD1	NDNE
PRLHR	NDNE
KIR2DL3	NDNE
SLC22A18AS	NDNE
ALDH18A1	NDNE
MOS	NDNE
TRAPPC11	NDNE
RPS6	NDNE
PTRHD1,C2orf79	NDNE
DUX4L2	NDNE
FKBP6	NDNE
ART4	NDNE
CSGALNACT1	NDNE
KCTD3	NDNE
LIMA1	NDNE
SIGLEC6	NDNE
LMF2	NDNE
SH3GLB2	NDNE
ZNF558	NDNE
BDH2	NDNE
NDUFS5	NDNE
IGSF23	NDNE
DNM3	NDNE
ZNF284	NDNE
DYRK4	NDNE
HCN3	NDNE
OR4C6	NDNE
CLLU1	NDNE
OBP2A	NDNE
IRAK1BP1	NDNE
HSDL1	NDNE
GALNT15	NDNE
SHANK2	NDNE
RPS6KL1	NDNE
SUPT5H	NDNE
PPP1R18	NDNE
COQ9	NDNE
NELFCD	NDNE
C17orf99	NDNE
DEFB125	NDNE
TLR10	NDNE
PNMA1	NDNE
OR5M8	NDNE
CLEC7A	NDNE
DUSP28	NDNE
SAYSD1	NDNE
DBR1	NDNE
PGR	NDNE
CADM2	NDNE
ENGASE	NDNE
LGALS3	NDNE
KCNK3	NDNE
TCERG1	NDNE
MGARP	NDNE
TSPAN31	NDNE
CCDC155	NDNE
FXYD1	NDNE
COX5A	NDNE
RAB31	NDNE
PRR20A	NDNE
HSPH1	NDNE
KCNC2	NDNE
PRDM6	NDNE
MUC5AC	NDNE
CCDC78	NDNE
ZNF615	NDNE
DGKG	NDNE
ANKRD22	NDNE
SPOCD1	NDNE
MAP4K5	NDNE
DDX4	NDNE
JMJD7	NDNE
MAPK8IP2	NDNE
C3orf49	NDNE
LUZP6	NDNE
NPRL2	NDNE
SCGB1D2	NDNE
GAREM	NDNE
ELSPBP1	NDNE
FAM126B	NDNE
C7orf65	NDNE
ETV7	NDNE
GSTT2	NDNE
TCEANC2	NDNE
SYCP1	NDNE
PIGF	NDNE
RAB33B	NDNE
SGSM2	NDNE
TET3	NDNE
SLC25A17	NDNE
OR5M11	NDNE
PWWP2A	NDNE
GSTA3	NDNE
ARHGDIG	NDNE
WDR91	NDNE
RCAN2	NDNE
EIF5A2	NDNE
SRRM3	NDNE
HELZ2	NDNE
RHOBTB3	NDNE
B3GALT5	NDNE
TREML1	NDNE
CCDC70	NDNE
RPL7A	NDNE
TUB	NDNE
ANKRD39	NDNE
CCNI	NDNE
PDZRN3	NDNE
GLI4	NDNE
PCDHA6	NDNE
ZKSCAN8	NDNE
ZNF606	NDNE
APBB1IP	NDNE
SLC7A5	NDNE
IRF3	NDNE
TMEM156	NDNE
ZBTB6	NDNE
SPRTN	NDNE
PDCD1LG2	NDNE
TBPL2	NDNE
GPX7	NDNE
HOXB6	NDNE
KRT6C	NDNE
TMEM211	NDNE
ZNF614	NDNE
DUT	NDNE
NDUFAF2	NDNE
HOXC6	NDNE
ASUN	NDNE
FFAR1	NDNE
HRASLS	NDNE
NCKAP5L	NDNE
CCDC39	NDNE
CMPK2	NDNE
SMYD4	NDNE
BSX	NDNE
BTBD7	NDNE
ADAM33	NDNE
OLR1	NDNE
LINC00955	NDNE
VWA5B1	NDNE
SLC16A4	NDNE
VEPH1	NDNE
FAM163A	NDNE
SNRPA1	NDNE
RAX2	NDNE
ANKDD1A	NDNE
ACPP	NDNE
GXYLT1	NDNE
TMEM131	NDNE
RTN4R	NDNE
C6orf141	NDNE
ASIC1	NDNE
WDR6	NDNE
TRIM49D1	NDNE
C12orf45	NDNE
ITGAD	NDNE
MAFK	NDNE
OR4F6	NDNE
FIG4	NDNE
WIZ	NDNE
ERVMER34-1	NDNE
TMEM263	NDNE
C16orf92	NDNE
SAR1B	NDNE
AARS	NDNE
C6orf106	NDNE
GID8	NDNE
CUL9	NDNE
OR6K2	NDNE
FAM216B	NDNE
SPRYD7	NDNE
WIF1	NDNE
SEC11C	NDNE
PROM2	NDNE
ZNF687	NDNE
JMJD4	NDNE
PDIA5	NDNE
PIH1D1	NDNE
PRODH2	NDNE
C6orf58	NDNE
EPB41L2	NDNE
ANKLE2	NDNE
LAIR2	NDNE
CD1D	NDNE
RAET1E	NDNE
DDX60L	NDNE
GUCA2B	NDNE
HMGN4	NDNE
TACO1	NDNE
GID4	NDNE
LINC00239	NDNE
ZNF235	NDNE
FAM43B	NDNE
CDC42EP4	NDNE
SNX15	NDNE
SLC38A8	NDNE
DDIAS	NDNE
REG3G	NDNE
SET	NDNE
GPLD1	NDNE
TTC1	NDNE
NDUFB3	NDNE
DCAF11	NDNE
COG2	NDNE
HPR	NDNE
HNRNPL	NDNE
ZNF208	NDNE
RSL1D1	NDNE
CACNG6	NDNE
SLC25A27	NDNE
CNOT8	NDNE
ICAM2	NDNE
FAM63B	NDNE
TUBG2	NDNE
RUFY2	NDNE
OR51L1	NDNE
RAB19	NDNE
LCE6A	NDNE
GORASP1	NDNE
OR8B12	NDNE
BST2	NDNE
TMEM189	NDNE
ANKS6	NDNE
NPBWR2	NDNE
ZCCHC9	NDNE
EPS8L1	NDNE
PTPLB	NDNE
IL36A	NDNE
PHF13	NDNE
PPIG	NDNE
BSDC1	NDNE
FAM214A	NDNE
PRPF18	NDNE
CXCL8,IL8	NDNE
ZNF705B	NDNE
FKBP11	NDNE
CCDC8	NDNE
PPIH	NDNE
CKS2	NDNE
MOGS	NDNE
FAM65B	NDNE
AQP7	NDNE
TOR2A	NDNE
FAM135A	NDNE
SCTR	NDNE
PGAP2	NDNE
SLC46A2	NDNE
MAP1A	NDNE
GNG7	NDNE
ZC2HC1B	NDNE
RSPH9	NDNE
MAS1L	NDNE
POPDC2	NDNE
CCT2	NDNE
MAFA	NDNE
C10orf2	NDNE
ZNF793	NDNE
HSD17B1	NDNE
DDX50	NDNE
GPR97	NDNE
ANKAR	NDNE
RAC2	NDNE
LYSMD2	NDNE
GZF1	NDNE
ZNF853	NDNE
RBP7	NDNE
SPATA31D1	NDNE
XRCC3	NDNE
CBLN4	NDNE
PSMD14	NDNE
TUBGCP4	NDNE
CCNJL	NDNE
RPL23A	NDNE
IFT22	NDNE
ZBED6CL	NDNE
LRRN4CL	NDNE
ZMYM2	NDNE
PLOD2	NDNE
DEFA1B	NDNE
APOL1	NDNE
AFAP1L1	NDNE
INSL4	NDNE
LCT	NDNE
LDB2	NDNE
CDC20B	NDNE
ZNF879	NDNE
LDLRAD2	NDNE
YIPF2	NDNE
AP1M2	NDNE
KIF23	NDNE
GALNT13	NDNE
C19orf48	NDNE
C8orf82	NDNE
ZNF416	NDNE
CD3EAP	NDNE
PCBP2	NDNE
TRA2A	NDNE
PARD6G-AS1	NDNE
GIPC1	NDNE
USP30	NDNE
NKPD1	NDNE
POU4F3	NDNE
IGDCC3	NDNE
ATP6V1G1	NDNE
MAP3K9	NDNE
ID3	NDNE
B3GALT5-AS1	NDNE
CCDC159	NDNE
COQ4	NDNE
SELL	NDNE
CRTAC1	NDNE
IGFN1	NDNE
MPZL3	NDNE
ALDH3B2	NDNE
ANGPTL5	NDNE
C1QL4	NDNE
FAM20B	NDNE
HOXB9	NDNE
AIFM3	NDNE
VWA2	NDNE
EDN2	NDNE
RASSF8	NDNE
TSFM	NDNE
RABAC1	NDNE
SPATA7	NDNE
GPR137B	NDNE
PRSS42	NDNE
WDR59	NDNE
BAIAP3	NDNE
GPR150	NDNE
Sep-04	NDNE
RNF135	NDNE
ENY2	NDNE
AHNAK	NDNE
KRTAP9-4	NDNE
KRTAP24-1	NDNE
INHBC	NDNE
RIMS3	NDNE
FHAD1	NDNE
CD207	NDNE
HIST3H2BB	NDNE
SCGB2A2	NDNE
SPECC1L-ADORA2A	NDNE
C19orf52	NDNE
PPY	NDNE
NBPF6	NDNE
WWP2	NDNE
DENND4C	NDNE
POLR2C	NDNE
SPATA21	NDNE
CHFR	NDNE
FGD5	NDNE
NDUFV3	NDNE
ACAA2	NDNE
DCAF10	NDNE
YES1	NDNE
RNF19B	NDNE
SWSAP1	NDNE
METAP1	NDNE
LINC01565	NDNE
RAB11B	NDNE
MLKL	NDNE
PTPN5	NDNE
TMEM40	NDNE
SPTAN1	NDNE
C20orf196	NDNE
ZSWIM5	NDNE
YTHDF3	NDNE
ACKR1	NDNE
EGLN3	NDNE
GDE1	NDNE
KANK2	NDNE
TRNP1	NDNE
TBC1D31	NDNE
UPK3B	NDNE
IL32	NDNE
TM2D3	NDNE
PCDHB11	NDNE
RDH11	NDNE
AGXT2	NDNE
TINAGL1	NDNE
ADAM7	NDNE
SEMG2	NDNE
C12orf49	NDNE
MFSD6	NDNE
MGST1	NDNE
VPS37B	NDNE
LPAR5	NDNE
GMPS	NDNE
CLASP2	NDNE
FAM166A	NDNE
ABCA9	NDNE
IGF2BP2-AS1	NDNE
SLC25A29	NDNE
VIMP	NDNE
RIOK3	NDNE
RAPGEFL1	NDNE
HES4	NDNE
HOMER2	NDNE
BRF1	NDNE
TAS2R46	NDNE
SCD5	NDNE
ASB4	NDNE
ZBTB34	NDNE
NAALAD2	NDNE
DZANK1	NDNE
GDPD4	NDNE
GTF2F2	NDNE
EXOSC7	NDNE
HIST1H1D	NDNE
PRSS37	NDNE
TSGA13	NDNE
SLC51B	NDNE
TMEM206	NDNE
IARS	NDNE
TMA7	NDNE
CMA1	NDNE
KALRN	NDNE
ZDHHC19	NDNE
BEND3	NDNE
DNAJC16	NDNE
SLC25A40	NDNE
PTN	NDNE
ATRAID	NDNE
ZFYVE9	NDNE
SMNDC1	NDNE
RSC1A1	NDNE
GRTP1	NDNE
MS4A5	NDNE
DLGAP2	NDNE
C17orf112	NDNE
LGMN	NDNE
C1orf21	NDNE
C11orf49	NDNE
BFSP2	NDNE
NXNL1	NDNE
WFDC12	NDNE
HEATR4	NDNE
PPIL6	NDNE
OR51A2	NDNE
SOX1	NDNE
USP17L10	NDNE
KCTD12	NDNE
FAM65C	NDNE
TMEM104	NDNE
COMMD8	NDNE
KRTAP4-5	NDNE
FFAR4	NDNE
R3HCC1L	NDNE
KCTD15	NDNE
RGL1	NDNE
ZBTB5	NDNE
ARHGDIA	NDNE
FAM83G	NDNE
OR9G1	NDNE
FBXO10	NDNE
ZRANB2	NDNE
ACAD11	NDNE
OR7D4	NDNE
IPO7	NDNE
GFER	NDNE
ZNF12	NDNE
SNX33	NDNE
OR5T1	NDNE
OLA1	NDNE
LIMS3	NDNE
FIBCD1	NDNE
FAM171B	NDNE
RPLP0	NDNE
NQO1	NDNE
WBP2	NDNE
CTNND1	NDNE
CCDC92	NDNE
WIPI1	NDNE
NENF	NDNE
GJA9	NDNE
CR2	NDNE
Sep-07	NDNE
C11orf58	NDNE
VSTM5	NDNE
KAZN	NDNE
ORC6	NDNE
PTOV1	NDNE
BIRC8	NDNE
COL14A1	NDNE
SLC38A2	NDNE
ACTR6	NDNE
SECTM1	NDNE
C5AR2	NDNE
ARHGEF25	NDNE
FGF14	NDNE
MYCBP	NDNE
COL6A5	NDNE
PAQR6	NDNE
BTN1A1	NDNE
GABRG1	NDNE
COQ10B	NDNE
BAZ1A	NDNE
HAUS2	NDNE
IGSF8	NDNE
OR51I2	NDNE
HGFAC	NDNE
NAA40	NDNE
MMP13	NDNE
RAB3A	NDNE
FAR2	NDNE
MSANTD3-TMEFF1	NDNE
GFRAL	NDNE
KIF1C	NDNE
PDIA6	NDNE
PARP9	NDNE
PACRG	NDNE
SUGCT	NDNE
ZNF598	NDNE
SRGN	NDNE
KRTAP6-2	NDNE
LPAR6	NDNE
INO80C	NDNE
LHFPL3	NDNE
AGAP4	NDNE
FOXA3	NDNE
SIRPB1	NDNE
STARD10	NDNE
RASSF1	NDNE
MDH2	NDNE
MEIG1	NDNE
KIAA1324	NDNE
ZUFSP	NDNE
PARN	NDNE
NXPE3	NDNE
NHSL1	NDNE
INTS2	NDNE
PARS2	NDNE
EHD2	NDNE
GDPGP1	NDNE
ABHD17A	NDNE
LEPREL1	NDNE
BCAS4	NDNE
SURF2	NDNE
CASP12	NDNE
BEGAIN	NDNE
GRIN2C	NDNE
CLIC3	NDNE
AOC3	NDNE
CTXN1	NDNE
MEOX1	NDNE
PRDM10	NDNE
ENTHD2	NDNE
SIGLECL1	NDNE
INO80B	NDNE
KIF13B	NDNE
KRTAP1-5	NDNE
GABARAPL1	NDNE
AK3	NDNE
ARHGAP27	NDNE
LRRC71	NDNE
C17orf59	NDNE
RSRP1	NDNE
USP54	NDNE
AHCYL1	NDNE
LRRC16A	NDNE
GNG11	NDNE
MUC5B	NDNE
FBXL13	NDNE
CIZ1	NDNE
TBRG4	NDNE
SNRPD1	NDNE
RNF19A	NDNE
ELAC2	NDNE
KIAA1217	NDNE
CHCHD1	NDNE
QPRT	NDNE
OR5V1	NDNE
TSPAN19	NDNE
OXT	NDNE
SLC35A4	NDNE
STATH	NDNE
COPB1	NDNE
ISM1,C20orf82	NDNE
RIOK1	NDNE
FOXR1	NDNE
ECI2	NDNE
KPRP	NDNE
SH3PXD2A	NDNE
C9orf116	NDNE
TNFRSF13C	NDNE
TMEM229A	NDNE
FASTKD1	NDNE
BNIP3	NDNE
SNAPC2	NDNE
BVES	NDNE
RER1	NDNE
ADAMTSL1	NDNE
SIT1	NDNE
HIST1H2AI	NDNE
TADA3	NDNE
C11orf42	NDNE
ZNF286B	NDNE
S100A11	NDNE
PLEKHO1	NDNE
GOLGA6L4	NDNE
CENPB	NDNE
ZNF215	NDNE
HEPACAM2	NDNE
WDR62	NDNE
ADCK2	NDNE
GOLGA6C	NDNE
ZNF585B	NDNE
LY6K	NDNE
LRFN1	NDNE
FILIP1	NDNE
TNFSF9	NDNE
ZNF791	NDNE
MRPS35	NDNE
ZNF717	NDNE
OR2AE1	NDNE
C1orf147	NDNE
SLCO1C1	NDNE
RPL9	NDNE
IFI27	NDNE
SHC3	NDNE
OVCA2	NDNE
ZNF180	NDNE
TOMM20L	NDNE
DDX46	NDNE
ORM1	NDNE
CFAP36	NDNE
METRN	NDNE
SERINC1	NDNE
ZNF789	NDNE
GLRX5	NDNE
PLEKHH1	NDNE
ZNF100	NDNE
CEP55	NDNE
MT4	NDNE
L3MBTL4	NDNE
TMEM190	NDNE
ZNF790	NDNE
C1QTNF7	NDNE
DNAJC9	NDNE
FAHD1	NDNE
PCDHA10	NDNE
KIAA1468	NDNE
FCRLB	NDNE
ANKRD30A	NDNE
RAB8B	NDNE
UBE2W	NDNE
CCDC89	NDNE
GJB7	NDNE
ZNF513	NDNE
C19orf44	NDNE
VMP1	NDNE
VWA3A	NDNE
ABCB8	NDNE
PKP1	NDNE
PELI2	NDNE
TCL1A	NDNE
ZNF572	NDNE
TOMM40L	NDNE
HEPHL1	NDNE
GVQW1	NDNE
SMIM12	NDNE
RBP5	NDNE
NMUR1	NDNE
NME7	NDNE
OR4F5	NDNE
ZNF70	NDNE
IFNA17	NDNE
CAAP1	NDNE
DIAPH3	NDNE
CAMSAP1	NDNE
ESCO2	NDNE
EIF4G1	NDNE
GLI1	NDNE
GPR61	NDNE
ARRB2	NDNE
FBXL16	NDNE
ABCA2	NDNE
TIMM21	NDNE
FAM184A	NDNE
RAB11A	NDNE
PRKRIP1	NDNE
CLEC18B	NDNE
CLEC3B	NDNE
HAGH	NDNE
ZNF726	NDNE
TRAF3IP3	NDNE
FRS3	NDNE
KLHDC9	NDNE
SLC38A10	NDNE
KRTAP10-5	NDNE
INIP	NDNE
NR0B2	NDNE
RHOD	NDNE
KCNH5	NDNE
CASP2	NDNE
RBBP5	NDNE
CGB5	NDNE
ZFAND2B	NDNE
NIPA2	NDNE
KRT7	NDNE
ERN2	NDNE
TMEM127	NDNE
SLC15A3	NDNE
UCHL1	NDNE
ZC3H18	NDNE
HERC1	NDNE
FSCB	NDNE
MTRNR2L2	NDNE
ZNF611	NDNE
ARL2	NDNE
SERPINI2	NDNE
NID1	NDNE
ANXA10	NDNE
ZGRF1	NDNE
RAN	NDNE
PRR34	NDNE
TRIM39	NDNE
DIRAS3	NDNE
PPP1R1A	NDNE
CD27	NDNE
SDHAF1	NDNE
SIAH3	NDNE
CENPP	NDNE
PTGER1	NDNE
SCGB1A1	NDNE
MED28	NDNE
ACSS1	NDNE
MKNK2	NDNE
MORN5	NDNE
MPDU1	NDNE
CEMIP	NDNE
GPR171	NDNE
CEP44	NDNE
CADM4	NDNE
WFDC8	NDNE
SETD6	NDNE
SVIP	NDNE
USP36	NDNE
ZSCAN10	NDNE
MVB12B	NDNE
SIGIRR	NDNE
PPP1R16A	NDNE
MAP3K19	NDNE
EIF1B	NDNE
CLEC18C	NDNE
CELA3B	NDNE
FLT3LG	NDNE
PRSS21	NDNE
RHBDD1	NDNE
TDRD6	NDNE
ANKRD32	NDNE
BBS5	NDNE
STAM	NDNE
CREB3	NDNE
SHMT2	NDNE
EFCAB2	NDNE
USP38	NDNE
C6orf52	NDNE
PXDC1	NDNE
CASP4	NDNE
SLC22A24	NDNE
TTF2	NDNE
GBF1	NDNE
HERPUD2	NDNE
ZC3H13	NDNE
MRPL20	NDNE
RSG1	NDNE
ZNF812	NDNE
SLC22A16	NDNE
EYA3	NDNE
TCEB1	NDNE
PPP4R1	NDNE
SARS2	NDNE
ZNF582	NDNE
IFT81	NDNE
COX16	NDNE
TAF13	NDNE
C8orf33	NDNE
ZNF189	NDNE
POU5F2	NDNE
ELAVL2	NDNE
FAM132B	NDNE
ZC3H3	NDNE
CAMP	NDNE
DEPDC4	NDNE
CORO1C	NDNE
NIPSNAP3B	NDNE
PALM2	NDNE
SHISA5	NDNE
KCNIP1	NDNE
SPHK1	NDNE
KRTAP20-1	NDNE
NUTM2F	NDNE
TDRD1	NDNE
FEM1A	NDNE
ZNF285,ZNF285A	NDNE
ACTR5	NDNE
OFCC1	NDNE
ZNF367	NDNE
MTX2	NDNE
TMEM89	NDNE
MFGE8	NDNE
RAB18	NDNE
KRR1	NDNE
DUSP5	NDNE
FAM154A	NDNE
CHD1L	NDNE
STARD6	NDNE
TMEM87B	NDNE
OIT3	NDNE
IFITM2	NDNE
TLE6	NDNE
SERPINB10	NDNE
TM2D2	NDNE
PPIF	NDNE
TSSK2	NDNE
BPIFA2,C20orf70	NDNE
SDC3	NDNE
NDNF	NDNE
OR2J2	NDNE
ASCC1	NDNE
C17orf58	NDNE
PAM16	NDNE
RPTN	NDNE
BATF2	NDNE
WFDC3	NDNE
OR2B3	NDNE
DPEP3	NDNE
SCRN1	NDNE
SLC16A9	NDNE
