Gene	Gene
MYF6	MNC
HPS5	MNC
GP1BB	MNC
ROBO3	MNC
F2	MNC
MYO7A	MNC
CLCN7	MNC
FUCA1	MNC
AGL	MNC
HSF4	MNC
SPINK1	MNC
ENAM	MNC
ACADM	MNC
SIX3	MNC
SALL4	MNC
DSPP	MNC
IRAK4	MNC
APC	MNC
NDUFS8	MNC
LHB	MNC
ALDH5A1	MNC
DLL3	MNC
KRT18	MNC
MITF	MNC
HPD	MNC
BBS4	MNC
AMT	MNC
PROS1	MNC
GUCA1A	MNC
SLC26A2	MNC
RAB27A	MNC
FTCD	MNC
EPHX1	MNC
MVK	MNC
PCCB	MNC
CRYGD	MNC
NIPBL	MNC
IGHMBP2	MNC
PLOD1	MNC
GAA	MNC
SNCB	MNC
COL11A2	MNC
CTNS	MNC
SERPING1	MNC
HSPB1	MNC
IQCB1	MNC
F11	MNC
MAT1A	MNC
HSPG2	MNC
PHKB	MNC
SDHC	MNC
LRPPRC	MNC
TCOF1	MNC
ADSL	MNC
ITGB2	MNC
CREBBP	MNC
CACNA1S	MNC
SOX18	MNC
HEXB	MNC
MC2R	MNC
ERCC5	MNC
F13B	MNC
HGD	MNC
ECM1	MNC
PITX3	MNC
HEXA	MNC
GNPTG	MNC
DHCR24	MNC
FANCE	MNC
DHCR7	MNC
SERPINE1	MNC
GFAP	MNC
NPHP1	MNC
IMPDH1	MNC
GSR	MNC
SEPN1	MNC
GRN	MNC
CRYAB	MNC
AGT	MNC
EIF2B4	MNC
RPE65	MNC
ARSA	MNC
CYP2C19	MNC
AMH	MNC
MMAB	MNC
GCK	MNC
COL6A1	MNC
PDE6B	MNC
SERPINF2	MNC
GCDH	MNC
TTPA	MNC
EIF2B1	MNC
SDHD	MNC
DYSF	MNC
F10	MNC
ATP1A2	MNC
TRIM32	MNC
PAH	MNC
SCO1	MNC
ALG3	MNC
AGPAT2	MNC
COL5A2	MNC
PRSS1	MNC
STAR	MNC
GALT	MNC
RPS19	MNC
PHYH	MNC
AICDA	MNC
FSHR	MNC
ABCC6	MNC
SCNN1B	MNC
SGCB	MNC
GCSH	MNC
MPI	MNC
NF2	MNC
MTR	MNC
ABCD3	MNC
SLC2A2	MNC
CLDN16	MNC
CA2	MNC
MMAA	MNC
ATP6V1B1	MNC
MATN3	MNC
HSD17B3	MNC
EPX	MNC
TPO	MNC
FUCA2	MNC
TTC8	MNC
PROC	MNC
TEK	MNC
HOXD13	MNC
PHGDH	MNC
HMGCL	MNC
SERPIND1	MNC
SLC12A3	MNC
GNRHR	MNC
TFAP2B	MNC
CDH3	MNC
HBD	MNC
RFXANK	MNC
FTL	MNC
ELN	MNC
NF1	MNC
PSEN1	MNC
PAFAH1B1	MNC
KRT4	MNC
HR	MNC
RDH12	MNC
VSX1	MNC
AAAS	MNC
ERCC4	MNC
MYBPC3	MNC
SPTA1	MNC
CYP27A1	MNC
C7	MNC
G6PC	MNC
F13A1	MNC
LYZ	MNC
KCNQ4	MNC
FAH	MNC
ALDH3A2	MNC
MCOLN1	MNC
TPI1	MNC
SGCA	MNC
NDUFS4	MNC
MOCS2	MNC
ALPL	MNC
PEX10	MNC
LARGE	MNC
IDUA	MNC
BRCA1	MNC
EDAR	MNC
AVP	MNC
CYP2D6	MNC
HSD11B2	MNC
SCN5A	MNC
RYR1	MNC
GHRHR	MNC
PEX6	MNC
COL1A2	MNC
JAG1	MNC
ETFA	MNC
FH	MNC
PTS	MNC
SGSH	MNC
CPT1A	MNC
HBB	MNC
PHOX2A	MNC
CNGA3	MNC
ANKH	MNC
TBX4	MNC
GDNF	MNC
GSN	MNC
FANCF	MNC
ATP2A1	MNC
PCCA	MNC
GNPTAB	MNC
NPC2	MNC
TTN	MNC
DBT	MNC
GDF5	MNC
GJB3	MNC
SLC12A6	MNC
AQP2	MNC
SPINK5	MNC
FZD4	MNC
TMC1	MNC
ITGA2B	MNC
FECH	MNC
EIF2B2	MNC
IHH	MNC
MUTYH	MNC
WRN	MNC
KRT14	MNC
GGT1	MNC
CHMP2B	MNC
PEX13	MNC
PGAM2	MNC
LMX1B	MNC
BMPR2	MNC
GNMT	MNC
GNPAT	MNC
AMHR2	MNC
SMARCAL1	MNC
FOXL2	MNC
IGF1	MNC
LMAN1	MNC
RP1	MNC
GUCY2D	MNC
CDKN1C	MNC
SH3BP2	MNC
ECE1	MNC
CHAT	MNC
COLQ	MNC
GP1BA	MNC
MTRR	MNC
PEX7	MNC
NPC1	MNC
TPM2	MNC
F7	MNC
CLCNKB	MNC
DRD2	MNC
GLMN	MNC
MYL3	MNC
SLC6A19	MNC
SLC25A4	MNC
ALOXE3	MNC
SLC5A1	MNC
SCN9A	MNC
BBS7	MNC
GNE	MNC
NOTCH3	MNC
ERCC3	MNC
SERPINA1	MNC
FLCN	MNC
NAGLU	MNC
KCNA1	MNC
TSC2	MNC
COL7A1	MNC
HPS4	MNC
ERCC8	MNC
PSEN2	MNC
HPS1	MNC
SERPINC1	MNC
FBN2	MNC
FANCL	MNC
SBDS	MNC
POLH	MNC
FANCM	MNC
GALNS	MNC
CLN6	MNC
PCSK1	MNC
ALAD	MNC
ABCA4	MNC
SERPINA6	MNC
MSX2	MNC
PEX1	MNC
MAN2B1	MNC
TECTA	MNC
KCNH2	MNC
PEX3	MNC
OPA3	MNC
MGP	MNC
SMAD4	MNC
USH1C	MNC
ITGB3	MNC
BMPR1A	MNC
SDHA	MNC
SNAI2	MNC
SLC17A5	MNC
DSP	MNC
KCNE1	MNC
TRPS1	MNC
COL8A2	MNC
GLRA1	MNC
TMPRSS3	MNC
LHX3	MNC
CTNNB1	MNC
B4GALT7	MNC
AP3B1	MNC
ATP2C1	MNC
HMBS	MNC
MPL	MNC
AHI1	CNM
PRSS16	CNM
SCN2A	CNM
B3GNT1	CNM
ILDR1	CNM
VAV1	CNM
RIN2	CNM
AMIGO2	CNM
EBF1	CNM
PLCL2	CNM
BF,CFB	CNM
NEBL	CNM
PLCG2	CNM
POLQ	CNM
GATA5	CNM
ATP8B3	CNM
FCRLA	CNM
ASNS	CNM
NINJ2	CNM
SEMA3G	CNM
HCK	CNM
PARP1	CNM
TRIM29	CNM
IL12RB2	CNM
CCR1	CNM
CTSB	CNM
ACTL7A	CNM
CLMN	CNM
KCNJ13	CNM
DIO3	CNM
WWOX	CNM
P2RY11	CNM
INPP5D	CNM
INPP4A	CNM
TAS1R2	CNM
BRD1	CNM
BRINP2	CNM
SEMA6A	CNM
FAM110B	CNM
NT5DC2	CNM
MPHOSPH9	CNM
PIK3C3	CNM
KCNE4	CNM
SMARCAD1	CNM
TYRP1	CNM
ESR1	CNM
SLC4A8	CNM
CD200R1L	CNM
ZNF536	CNM
MAP4K4	CNM
TAC1	CNM
CD276	CNM
RASGRP1	CNM
PSD	CNM
NME8	CNM
DLK1	CNM
TNNC1	CNM
MUS81	CNM
SYT4	CNM
RPS6KA2	CNM
CERS6	CNM
UCN2	CNM
KCNH8	CNM
C20orf195	CNM
CLC	CNM
MRPS30	CNM
SBNO1	CNM
GIGYF2	CNM
UBE2D1	CNM
VPS13C	CNM
RGS17	CNM
BANK1	CNM
BCL11A	CNM
RBFOX1	CNM
TSGA10	CNM
RNF186	CNM
ATF6	CNM
SOD2	CNM
CHL1	CNM
CCL19	CNM
THUMPD2	CNM
POU5F1	CNM
ST18	CNM
FBXO5	CNM
RBM17	CNM
SCLT1	CNM
IDE	CNM
CCR4	CNM
CCL2	CNM
TRIM42	CNM
ZBTB40	CNM
BCL2	CNM
PCDH7	CNM
EPHA3	CNM
RBM14	CNM
LIMS2	CNM
EN1	CNM
CEP170	CNM
LBP	CNM
ESRRA	CNM
TUSC3	CNM
C1orf106	CNM
BUD13	CNM
SH3BGRL2	CNM
CAMK2D	CNM
SULF1	CNM
AHNAK2	CNM
C4orf26	CNM
KLHL32,KIAA1900	CNM
CD33	CNM
CEBPE	CNM
PMP2	CNM
FAM57A	CNM
TNS3	CNM
ZNF264	CNM
ANKRD29	CNM
PRL	CNM
ARL3	CNM
PLCE1	CNM
MXI1	CNM
CCNE1	CNM
GYPA	CNM
EPHA10	CNM
SLC16A8	CNM
PELI3	CNM
RFTN2	CNM
LTA	CNM
H2AFY	CNM
RNF144B	CNM
GABRR1	CNM
LILRB4	CNM
RHPN2	CNM
CNTNAP5	CNM
CCDC88C	CNM
PHB	CNM
MS4A4A	CNM
DCP1B	CNM
ASIC2	CNM
OSTF1	CNM
FGF6	CNM
RUNX3	CNM
NEK4	CNM
TLL1	CNM
TNFRSF4	CNM
WBP1L	CNM
RTEL1	CNM
CSF2	CNM
PSORS1,HLA-C	CNM
GPR20	CNM
NDUFAB1	CNM
PDGFD	CNM
DUSP4	CNM
AACS	CNM
NFKBIL1	CNM
DNAJC5B	CNM
PIGR	CNM
ZNF320	CNM
STYX	CNM
RAB1B	CNM
TPD52L2	CNM
B3GAT1	CNM
PGM5	CNM
AKAP13	CNM
BRI3BP	CNM
ZNF804B	CNM
MAGI2	CNM
ACMSD	CNM
VAMP5	CNM
EAPP	CNM
MRPL30	CNM
MYRIP	CNM
IFT172	CNM
FGF12	CNM
FAM155A	CNM
TENM3	CNM
COL4A2	CNM
SLC4A7	CNM
BIRC5	CNM
FMN1	CNM
MORC1	CNM
ZPBP2	CNM
KAT5	CNM
SEC16A	CNM
PRPF6	CNM
RBMS3	CNM
INHBA	CNM
PPP1R37	CNM
BCAR1	CNM
SOCS1	CNM
FABP5	CNM
SCG5	CNM
SERP2	CNM
FOS	CNM
C9orf3	CNM
COG6	CNM
HLA-B	CNM
PDLIM5	CNM
ZEB2	CNM
DDX6	CNM
C6orf118	CNM
PICALM	CNM
ERAP1	CNM
PCGF6	CNM
DKKL1	CNM
RBX1	CNM
JARID2	CNM
PLCL1	CNM
PRUNE	CNM
ADAM29	CNM
TAF1C	CNM
ERG	CNM
SPATA5L1	CNM
MCC	CNM
CFHR1	CNM
PIGL	CNM
CEP57	CNM
DPP3	CNM
ETNK2	CNM
KIF13A	CNM
NRGN	CNM
SEC16B	CNM
MPP7	CNM
CNOT6	CNM
ARFRP1	CNM
MTNR1B	CNM
IL23R	CNM
MLN	CNM
HLA-DPB1	CNM
RAB38	CNM
NTN4	CNM
BTNL2	CNM
ATP8A2	CNM
PPP1R3B	CNM
MICA	CNM
FXYD4	CNM
SPINK4	CNM
PDE1C	CNM
FGF4	CNM
ELTD1	CNM
CAND1	CNM
PDE7B	CNM
MCTP2	CNM
C11orf21	CNM
SVEP1	CNM
CRTC3	CNM
SLC17A6	CNM
KLHL5	CNM
BTN3A1	CNM
MSRA	CNM
TMTC1	CNM
CTDSP1	CNM
LIN28B	CNM
SPSB4	CNM
ZPBP	CNM
C8orf4	CNM
VPS53	CNM
ST8SIA2	CNM
TAS2R4	CNM
TNS1	CNM
FTSJ2	CNM
BAK1	CNM
FUT2	CNM
C5orf30	CNM
ARAP2	CNM
BTN3A2	CNM
ARL4A	CNM
WNT4	CNM
ANP32B	CNM
MMP3	CNM
HIST1H2AG	CNM
KIAA2018	CNM
IBTK	CNM
NT5DC3	CNM
DMXL1	CNM
SLC35F2	CNM
NCF4	CNM
ANKRD17	CNM
ATP5G1	CNM
FBXO11	CNM
S100A5	CNM
IL21	CNM
PPT2	CNM
NUF2	CNM
PKIA	CNM
CHST12	CNM
NTNG1	CNM
HIGD1C	CNM
TNFSF4	CNM
AGAP1,CENTG2	CNM
SETMAR	CNM
ESYT1	CNM
FAF1	CNM
IL1RAP	CNM
FBXL15	CNM
TRAF6	CNM
STT3A	CNM
PRKCD	CNM
CHST9	CNM
NUMB	CNM
IL6ST	CNM
GAL3ST3	CNM
SP8	CNM
STH	CNM
ATG5	CNM
MSC	CNM
PPAP2B	CNM
PLA2G6	CNM
ZNF512B	CNM
GMIP	CNM
DLG2	CNM
PARVB	CNM
STAT2	CNM
KSR2	CNM
ACSM5	CNM
CSDE1	CNM
PDE8A	CNM
IRF2BP2	CNM
IL1RL2	CNM
USMG5	CNM
ATXN2	CNM
CTNND2	CNM
CDH9	CNM
NAT8	CNM
FGF3	CNM
SUCNR1	CNM
SYT2	CNM
LPAR2	CNM
ACTR1A	CNM
ITIH4	CNM
TMEM180	CNM
PLCH2	CNM
RIT1	CNM
RASIP1	CNM
HERC2	CNM
CYP24A1	CNM
SCAMP3	CNM
PAG1	CNM
PLEKHA1	CNM
NMUR2	CNM
CLU	CNM
NFKBIZ	CNM
LEF1	CNM
CCR5	CNM
FKBPL	CNM
PRUNE2	CNM
VCAM1	CNM
KMT2A	CNM
PADI4	CNM
RPN2	CNM
LMNB1	CNM
DSC1	CNM
HLA-DRB1	CNM
TNFSF8	CNM
SFRP4	CNM
CLYBL	CNM
QSOX1	CNM
IL31RA	CNM
DNAJC1	CNM
UPF2	CNM
PPP1R21	CNM
CDKN2B	CNM
DTYMK	CNM
BCAS1	CNM
CCL13	CNM
LNPEP	CNM
CEBPA	CNM
PIGY	CNM
CXCL12	CNM
NSF	CNM
AFF3	CNM
GRIA1	CNM
PHF7	CNM
SORCS1	CNM
OSM	CNM
WNT3	CNM
CENPV	CNM
DLC1	CNM
STAT3	CNM
PEMT	CNM
C12orf74	CNM
GLOD4	CNM
TRPT1	CNM
PDE4B	CNM
WISP1	CNM
POLD3	CNM
TNFRSF10A	CNM
ZCWPW1	CNM
ADAM23	CNM
DNMT1	CNM
SERINC3	CNM
ETAA1	CNM
MAN2A1	CNM
MACROD2	CNM
DAP	CNM
RREB1	CNM
MALT1	CNM
CEBPG	CNM
MYC	CNM
TMEM68	CNM
HEMGN	CNM
KIF18A	CNM
HOXD1	CNM
FRMD4B	CNM
TNFSF15	CNM
PTPRK	CNM
SKAP2	CNM
LMTK2	CNM
MECOM	CNM
IGSF3	CNM
FOXO3	CNM
IFI44L	CNM
TNFAIP3	CNM
EFR3B	CNM
PRKCQ	CNM
UBE2Z	CNM
ACTN2	CNM
DTNB	CNM
PCBD2	CNM
GLG1	CNM
FERMT2	CNM
PBRM1	CNM
CFHR5	CNM
TGM3	CNM
DDR1	CNM
PRDX5	CNM
CDHR3	CNM
IL5RA	CNM
ATG4B	CNM
CLDN14	CNM
ZNF283	CNM
AGR3	CNM
ABLIM1	CNM
HS3ST1	CNM
ZC3HC1	CNM
IFNG	CNM
TOB2	CNM
SULT4A1	CNM
FAM173B	CNM
RAB6C	CNM
